iter	Passed	Remaining
631	98214	212590
632	98367	212429
633	98528	212287
634	98687	212138
635	98844	211987
636	99001	211835
637	99158	211683
638	99310	211520
639	99460	211353
640	99608	211183
641	99758	211015
642	99907	210846
643	100061	210688
644	100216	210531
645	100363	210360
646	100519	210204
647	100666	210033
648	100818	209869
649	100978	209724
650	101136	209574
651	101286	209408
652	101441	209251
653	101589	209081
654	101745	208927
655	101901	208773
656	102057	208619
657	102211	208461
658	102367	208307
659	102521	208150
660	102670	207980
661	102822	207819
662	102982	207673
663	103140	207523
664	103297	207372
665	103456	207223
666	103605	207055
667	103751	206880
668	103906	206726
669	104062	206571
670	104211	206403
671	104367	206250
672	104524	206097
673	104680	205943
674	104828	205773
675	104977	205606
676	105125	205436
677	105281	205283
678	105436	205128
679	105585	204960
680	105739	204801
681	105894	204645
682	106042	204477
683	106195	204318
684	106348	204158
685	106498	203991
686	106645	203821
687	106800	203666
688	106952	203504
689	107109	203352
690	107259	203188
691	107406	203016
692	107559	202858
693	107715	202703
694	107862	202532
695	108018	202379
696	108171	202220
697	108324	202061
698	108478	201902
699	108631	201743
700	108779	201575
701	108938	201427
702	109096	201278
703	109253	201125
704	109401	200957
705	109549	200789
706	109696	200618
707	109843	200448
708	109996	200289
709	110150	200132
710	110307	199981
711	110462	199825
712	110617	199669
713	110772	199514
714	110923	199352
715	111081	199201
716	111233	199041
717	111393	198894
718	111549	198740
719	111700	198579
720	111849	198413
721	112008	198263
722	112164	198111
723	112316	197949
724	112465	197783
725	112615	197620
726	112773	197469
727	112926	197310
728	113080	197153
729	113231	196991
730	113379	196824
731	113532	196666
732	113691	196516
733	113848	196365
734	114005	196214
735	114157	196052
736	114316	195903
737	114469	195746
738	114625	195591
739	114779	195435
740	114940	195290
741	115103	195148
742	115260	194996
743	115411	194834
744	115567	194680
745	115714	194511
746	115861	194343
747	116019	194193
748	116174	194038
749	116329	193882
750	116481	193721
751	116643	193578
752	116799	193424
753	116954	193269
754	117104	193106
755	117259	192951
756	117409	192787
757	117559	192623
758	117715	192470
759	117868	192311
760	118018	192148
761	118173	191992
762	118327	191835
763	118484	191684
764	118635	191522
765	118783	191356
766	118940	191203
767	119092	191044
768	119242	190881
769	119392	190718
770	119543	190556
771	119696	190398
772	119854	190247
773	120009	190092
774	120167	189941
775	120316	189777
776	120464	189611
777	120615	189449
778	120769	189294
779	120919	189131
780	121077	188980
781	121234	188827
782	121392	188677
783	121544	188518
784	121702	188367
785	121851	188202
786	122000	188039
787	122159	187890
788	122319	187742
789	122470	187581
790	122621	187420
791	122772	187259
792	122922	187096
793	123071	186932
794	123231	186785
795	123385	186628
796	123542	186476
797	123700	186325
798	123850	186162
799	124007	186010
800	124156	185847
801	124306	185685
802	124461	185530
803	124617	185376
804	124773	185222
805	124926	185064
806	125078	184905
807	125236	184754
808	125385	184590
809	125548	184447
810	125702	184291
811	125854	184131
812	126008	183976
813	126160	183815
814	126315	183661
815	126476	183515
816	126626	183352
817	126783	183201
818	126935	183041
819	127085	182879
820	127235	182716
821	127386	182555
822	127537	182396
823	127686	182232
824	127836	182069
825	127994	181919
826	128154	181771
827	128310	181618
828	128467	181466
829	128618	181306
830	128774	181151
831	128921	180985
832	129069	180821
833	129220	180661
834	129378	180509
835	129527	180347
836	129683	180193
837	129832	180030
838	129988	179876
839	130146	179725
840	130300	179570
841	130456	179415
842	130613	179264
843	130765	179105
844	130923	178954
845	131073	178793
846	131224	178632
847	131378	178476
848	131533	178321
849	131691	178171
850	131839	178006
851	131991	177847
852	132150	177697
853	132305	177543
854	132461	177389
855	132616	177234
856	132775	177085
857	132936	176939
858	133094	176788
859	133257	176644
860	133412	176488
861	133570	176338
862	133719	176175
863	133868	176012
864	134019	175852
865	134175	175698
866	134326	175538
867	134475	175376
868	134631	175222
869	134788	175069
870	134944	174916
871	135094	174755
872	135252	174603
873	135405	174446
874	135561	174293
875	135716	174138
876	135871	173983
877	136030	173834
878	136180	173672
879	136338	173521
880	136486	173357
881	136641	173203
882	136794	173045
883	136950	172892
884	137106	172738
885	137255	172576
886	137404	172413
887	137558	172258
888	137706	172094
889	137862	171941
890	138024	171794
891	138188	171650
892	138345	171498
893	138495	171337
894	138650	171183
895	138805	171028
896	138956	170868
897	139113	170716
898	139271	170565
899	139427	170411
900	139578	170251
901	139731	170094
902	139881	169933
903	140038	169780
904	140187	169618
905	140345	169467
906	140502	169315
907	140650	169152
908	140806	168998
909	140960	168843
910	141118	168691
911	141268	168531
912	141423	168376
913	141573	168214
914	141722	168053
915	141878	167899
916	142032	167743
917	142185	167587
918	142334	167425
919	142492	167273
920	142647	167119
921	142798	166959
922	142950	166801
923	143107	166649
924	143262	166494
925	143420	166342
926	143567	166178
927	143723	166025
928	143882	165875
929	144032	165714
930	144181	165553
931	144337	165399
932	144487	165239
933	144641	165083
934	144788	164919
935	144939	164760
936	145088	164599
937	145237	164437
938	145394	164285
939	145544	164124
940	145693	163962
941	145849	163809
942	146000	163650
943	146155	163495
944	146308	163338
945	146456	163176
946	146612	163022
947	146765	162866
948	146915	162705
949	147064	162545
950	147220	162391
951	147376	162238
952	147527	162078
953	147674	161916
954	147831	161762
955	147987	161609
956	148136	161448
957	148285	161287
958	148432	161124
959	148580	160962
960	148730	160802
961	148887	160650
962	149044	160497
963	149201	160345
964	149350	160184
965	149499	160023
966	149656	159870
967	149803	159708
968	149953	159548
969	150104	159389
970	150253	159228
971	150406	159071
972	150560	158916
973	150707	158753
974	150855	158591
975	151007	158434
976	151156	158273
977	151311	158119
978	151470	157968
979	151623	157812
980	151779	157658
981	151935	157505
982	152085	157346
983	152243	157194
984	152391	157033
985	152541	156873
986	152698	156720
987	152870	156584
988	153056	156460
989	153206	156301
990	153365	156151
991	153519	155995
992	153677	155844
993	153826	155683
994	153977	155524
995	154124	155362
996	154276	155205
997	154430	155049
998	154579	154889
999	154733	154733
1000	154891	154581
1001	155049	154430
1002	155199	154271
1003	155349	154111
1004	155499	153952
1005	155658	153801
1006	155814	153648
1007	155983	153507
1008	156140	153354
1009	156302	153207
1010	156450	153046
1011	156604	152890
1012	156751	152728
1013	156907	152574
1014	157062	152420
1015	157212	152261
1016	157364	152103
1017	157521	151951
1018	157679	151799
1019	157827	151638
1020	157984	151485
1021	158141	151332
1022	158293	151175
1023	158444	151017
1024	158607	150870
1025	158767	150720
1026	158918	150562
1027	159072	150406
1028	159230	150255
1029	159383	150099
1030	159542	149948
1031	159697	149793
1032	159847	149634
1033	160005	149483
1034	160162	149330
1035	160318	149176
1036	160469	149018
1037	160627	148867
1038	160778	148708
1039	160928	148549
1040	161086	148398
1041	161238	148240
1042	161390	148082
1043	161547	147930
1044	161699	147772
1045	161851	147615
1046	162007	147462
1047	162158	147304
1048	162315	147151
1049	162463	146991
1050	162613	146831
1051	162771	146680
1052	162931	146529
1053	163087	146376
1054	163238	146218
1055	163388	146059
1056	163539	145901
1057	163696	145748
1058	163861	145602
1059	164018	145450
1060	164174	145296
1061	164329	145142
1062	164478	144982
1063	164633	144827
1064	164783	144669
1065	164931	144508
1066	165086	144353
1067	165237	144196
1068	165392	144041
1069	165547	143887
1070	165702	143732
1071	165858	143578
1072	166006	143418
1073	166161	143264
1074	166308	143102
1075	166456	142942
1076	166606	142783
1077	166758	142626
1078	166910	142469
1079	167068	142317
1080	167218	142158
1081	167369	142000
1082	167527	141848
1083	167681	141694
1084	167845	141547
1085	167996	141389
1086	168145	141229
1087	168295	141071
1088	168450	140917
1089	168600	140758
1090	168756	140604
1091	168912	140451
1092	169069	140298
1093	169226	140145
1094	169379	139989
1095	169535	139835
1096	169684	139676
1097	169835	139518
1098	169986	139361
1099	170144	139209
1100	170300	139055
1101	170452	138898
1102	170603	138740
1103	170752	138581
1104	170908	138427
1105	171062	138272
1106	171212	138114
1107	171370	137962
1108	171518	137802
1109	171673	137648
1110	171823	137489
1111	171972	137330
1112	172125	137174
1113	172273	137014
1114	172421	136854
1115	172579	136702
1116	172734	136548
1117	172888	136393
1118	173039	136236
1119	173190	136078
1120	173346	135924
1121	173500	135769
